time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-11T16:49:24.627Z,15.7578,-96.3888,31.13,4.3,mb,,216,2.752,0.91,us,us60008dr6,2020-03-12T04:18:19.264Z,"8km ENE of San Pedro Pochutla, Mexico",earthquake,14,13.2,0.084,40,reviewed,us,us
2020-03-11T15:49:19.610Z,19.2003326,-155.45784,36.28,2.51,md,48,112,0.04487,0.11,hv,hv71422422,2020-03-11T15:52:30.810Z,"2km ESE of Pahala, Hawaii",earthquake,0.6,0.77,0.01,3,automatic,hv,hv
2020-03-11T15:16:58.059Z,-6.968,155.4572,49.82,5.3,mww,,57,4.284,0.66,us,us60008dpf,2020-03-12T16:31:40.040Z,"72km S of Panguna, Papua New Guinea",earthquake,8.2,6.9,0.08,15,reviewed,us,us
2020-03-11T14:44:44.110Z,34.539,-120.517,5.86,2.56,ml,24,187,0.162,0.24,ci,ci38390898,2020-03-13T22:32:24.216Z,"12km SSW of Lompoc, CA",earthquake,0.57,31.61,0.121,29,reviewed,ci,ci
2020-03-11T14:19:27.846Z,31.9655,78.6522,35,4.1,mb,,173,4.834,0.75,us,us60008dp6,2020-03-11T15:38:19.040Z,"18km NNW of Sibgyi, China",earthquake,3.1,2,0.234,5,reviewed,us,us
2020-03-11T14:00:28.766Z,60.1654,-144.9341,18.3,2.5,ml,,,,0.96,ak,ak02039nhrtr,2020-03-11T14:12:12.171Z,"61km SE of Cordova, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-11T13:57:35.173Z,-21.6078,-68.3588,100.84,4.6,mww,,41,0.842,0.69,us,us60008dnh,2020-03-11T14:27:57.040Z,"112km NNE of Calama, Chile",earthquake,6.5,5.5,0.08,15,reviewed,us,us
2020-03-11T13:50:46.456Z,15.8892,-96.5894,33.2,4.3,mb,,215,2.521,0.82,us,us60008dmy,2020-03-11T21:16:15.305Z,"21km NW of San Pedro Pochutla, Mexico",earthquake,13.1,6.5,0.048,123,reviewed,us,us
2020-03-11T13:43:34.990Z,17.9658,-66.829,13,3.02,md,7,228,0.0511,0.19,pr,pr2020071017,2020-03-12T01:35:24.959Z,"3km SSW of Indios, Puerto Rico",earthquake,1.53,1,0.29,3,reviewed,pr,pr
2020-03-11T12:38:12.090Z,17.9176,-66.848,16,2.68,md,5,229,0.0654,0.14,pr,pr2020071016,2020-03-11T20:40:47.414Z,"8km SE of Guanica, Puerto Rico",earthquake,1.43,0.81,0.3,3,reviewed,pr,pr
2020-03-11T11:49:14.910Z,17.8208,-66.8506,5,2.48,md,4,264,0.1569,0.07,pr,pr2020071015,2020-03-11T12:05:17.466Z,"17km SSE of Guanica, Puerto Rico",earthquake,1.03,0.59,0.35,2,reviewed,pr,pr
2020-03-11T10:43:39.657Z,43.2925,-73.6371,12.55,3.1,mb_lg,,51,0.094,0.32,us,us60008dlh,2020-03-13T18:13:12.622Z,"0km SSW of South Glens Falls, New York",earthquake,2.1,4.3,0.058,78,reviewed,us,us
2020-03-11T10:31:41.437Z,61.4869,-151.8458,0,2.8,ml,,,,0.71,ak,ak02039laphb,2020-03-11T23:41:47.150Z,"96km NNW of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-11T10:28:42.870Z,17.9426,-66.8543,18,2.65,md,6,234,0.0409,0.11,pr,pr2020071014,2020-03-11T10:55:12.850Z,"5km SE of Maria Antonia, Puerto Rico",earthquake,1.12,0.48,0.13,3,reviewed,pr,pr
2020-03-11T10:24:07.050Z,29.5028,52.162,10,4.2,mb,,86,5.792,0.44,us,us60008dlc,2020-03-11T18:26:51.897Z,"38km WSW of Shiraz, Iran",earthquake,7.7,1.9,0.113,22,reviewed,us,us
2020-03-11T10:17:53.558Z,31.6816,-104.2923,5,2.5,mb_lg,,66,0.335,0.32,us,us60008dl7,2020-03-12T06:00:18.725Z,"65km W of Mentone, Texas",earthquake,1.3,1.9,0.104,30,reviewed,us,us
2020-03-11T09:42:06.850Z,17.9783,-66.8266,16,2.8,md,6,195,0.0527,0.05,pr,pr2020071013,2020-03-11T10:39:45.600Z,"1km SSW of Indios, Puerto Rico",earthquake,0.92,0.55,0.15,3,reviewed,pr,pr
2020-03-11T08:39:14.450Z,19.4225,-67.7298,39,3.33,md,6,318,1.0678,0.37,pr,pr2020071012,2020-03-11T09:23:08.503Z,"117km NE of Punta Cana, Dominican Republic",earthquake,4.26,26.9,0.33,2,reviewed,pr,pr
2020-03-11T08:00:27.060Z,17.9033,-66.8695,7,2.51,md,5,235,0.0725,0.05,pr,pr2020071011,2020-03-11T08:12:47.340Z,"8km SSE of Guanica, Puerto Rico",earthquake,1.17,0.35,0.23,2,reviewed,pr,pr
2020-03-11T07:07:41.460Z,17.9448,-66.8501,12,3.22,md,8,217,0.042,0.15,pr,pr2020071010,2020-03-11T10:11:01.587Z,"5km SE of Maria Antonia, Puerto Rico",earthquake,1.16,0.57,0.19,4,reviewed,pr,pr
2020-03-11T06:55:56.090Z,17.8316,-66.8601,9,3.03,md,7,259,0.1448,0.06,pr,pr2020071009,2020-03-11T14:58:23.675Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.63,0.95,0.22,4,reviewed,pr,pr
